timestamp,banco_bisa,banco_de_credito,banco_de_la_nacion_argentina,banco_economico,banco_fie,banco_ganadero,banco_mercantil_santa_cruz,banco_nacional_de_bolivia,banco_solidario,banco_union,value,banco_fortaleza,banco_pyme_de_la_comunidad,banco_pyme_ecofuturo,banco_prodem
2025-12-01,8.84,8.77,6.94,6.96,7.71,7.51,7.79,7.12,9.17,10.45,7.85,,,,
2025-12-02,9.15,9.2,6.96,7.06,9.12,8.05,7.79,6.88,9.19,10.03,9.02,7.0,7.49,,
2025-12-03,8.76,8.2,7.44,9.24,6.96,9.08,8.9,8.11,9.42,6.91,8.41,6.86,7.0,,
2025-12-04,8.66,9.0,6.96,8.62,6.96,8.84,8.07,8.88,9.36,9.7,8.78,9.42,,,
2025-12-05,8.65,8.67,6.96,8.85,7.5,7.81,8.41,8.51,9.22,9.7,8.44,6.96,,9.11,
2025-12-08,8.68,8.47,7.44,8.61,6.97,9.04,7.78,8.75,9.1,9.7,8.69,8.6,7.0,9.17,
2025-12-09,8.6,8.2,7.36,8.58,6.97,8.71,7.52,8.0,8.89,6.91,8.48,,7.0,9.11,
2025-12-10,8.59,8.3,8.7,8.51,,8.74,7.42,8.43,8.68,12.69,8.52,8.87,7.0,,
2025-12-11,7.66,7.76,7.2,8.46,,7.92,8.06,8.03,8.53,6.92,8.0,,,,
2025-12-12,7.82,8.1,6.96,8.37,7.24,8.54,7.81,7.97,7.89,8.0,7.99,6.97,,,6.97
2025-12-15,7.87,7.74,8.44,8.24,,8.03,7.33,7.91,8.2,9.4,8.87,7.2,,,
2025-12-16,7.98,8.09,6.96,8.07,6.97,8.42,7.7,7.57,7.94,9.3,8.6,8.1,,,
2025-12-17,7.89,7.43,7.04,8.0,,8.31,7.0,7.73,8.06,9.33,8.37,8.05,,,
2025-12-18,7.95,7.96,6.96,7.86,6.96,7.94,7.09,7.22,7.99,9.33,8.06,7.43,,,
2025-12-19,8.0,7.97,6.96,7.82,7.48,7.19,7.3,7.48,7.91,9.33,8.46,7.8,,,
2025-12-22,8.18,8.04,7.84,7.5,6.97,7.65,7.3,8.56,7.98,9.17,8.09,6.89,7.0,8.07,
